"aerolinea","origen","destino","dia","mes","anio","genero","razon","estancia","transporte","conexion","tiempoEspera"
"Interjet","LAX","JFK",29,8,2023,"Mujer","Vacaciones/placer","Hotel","Renta de autos","No es de conexion",61
"Interjet","LAX","GDL",4,4,2023,"Mujer","Vuelta a casa","Hotel","Transporte público","No es de conexion",154
"VivaAerobus","SJC","PDX",21,2,2023,"Mujer","Vacaciones/placer","Amigos","Renta de autos","Es de conexion",102
"Volaris","SJC","JFK",28,6,2023,"Mujer","Vacaciones/placer","Casa","Renta de autos","No es de conexion",161
"Volaris","GDL","JFK",27,11,2023,"Mujer","Trabajo","Casa","Recogida","No es de conexion",145
"Aeromar","PDX","GDL",14,12,2023,"Hombre","Trabajo","Amigos","Auto propio","Es de conexion",209
"Aeroméxico","SJC","JFK",19,2,2023,"Hombre","Vacaciones/placer","Casa","Transporte público","Es de conexion",122
"Interjet","PDX","LAX",1,9,2023,"Hombre","Vuelta a casa","Amigos","Transporte público","Es de conexion",237
"VivaAerobus","SJC","LAX",25,12,2023,"Mujer","Trabajo","Casa","Auto propio","Es de conexion",91
"VivaAerobus","PDX","GDL",12,12,2023,"Prefiero no decirlo","Vacaciones/placer","Hotel","Auto propio","Es de conexion",239
"Aeroméxico","GDL","PDX",11,11,2023,"Hombre","Trabajo","Hotel","Recogida","Es de conexion",145
"VivaAerobus","SJC","LAX",3,2,2023,"Mujer","Vacaciones/placer","Casa","Transporte público","Es de conexion",77
"Aeromar","JFK","SJC",21,1,2023,"Hombre","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",134
"Aeroméxico","SJC","GDL",10,3,2023,"Mujer","Trabajo","Casa","Renta de autos","No es de conexion",233
"Interjet","GDL","LAX",11,6,2023,"Prefiero no decirlo","Vacaciones/placer","Amigos","Transporte público","Es de conexion",136
"Aeroméxico","PDX","LAX",22,1,2023,"Prefiero no decirlo","Vuelta a casa","Hotel","Renta de autos","Es de conexion",71
"Aeroméxico","JFK","LAX",27,10,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Auto propio","Es de conexion",228
"Aeromar","GDL","JFK",28,4,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Renta de autos","No es de conexion",48
"Aeromar","GDL","PDX",21,12,2023,"Mujer","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",69
"VivaAerobus","PDX","JFK",21,10,2023,"Hombre","Vacaciones/placer","Casa","Taxi del aeropuerto","Es de conexion",196
"Aeromar","JFK","LAX",19,7,2023,"Prefiero no decirlo","Vuelta a casa","Hotel","Recogida","No es de conexion",63
"Aeromar","GDL","JFK",10,3,2023,"Mujer","Vuelta a casa","Hotel","Taxi del aeropuerto","Es de conexion",86
"Volaris","JFK","SJC",21,9,2023,"Hombre","Trabajo","Amigos","Transporte público","Es de conexion",76
"VivaAerobus","GDL","LAX",20,3,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Taxi del aeropuerto","Es de conexion",229
"Aeromar","LAX","SJC",13,6,2023,"Mujer","Vuelta a casa","Hotel","Recogida","Es de conexion",88
"Aeroméxico","JFK","SJC",13,5,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Recogida","Es de conexion",120
"VivaAerobus","SJC","PDX",20,12,2023,"Prefiero no decirlo","Trabajo","Hotel","Auto propio","Es de conexion",202
"Aeromar","JFK","GDL",12,4,2023,"Mujer","Trabajo","Casa","Recogida","Es de conexion",175
"Aeroméxico","JFK","PDX",3,1,2023,"Hombre","Vuelta a casa","Casa","Auto propio","No es de conexion",140
"Interjet","JFK","SJC",19,5,2023,"Hombre","Trabajo","Casa","Renta de autos","No es de conexion",43
"Aeroméxico","GDL","JFK",15,6,2023,"Hombre","Vacaciones/placer","Amigos","Renta de autos","No es de conexion",54
"Interjet","LAX","PDX",7,2,2023,"Hombre","Vuelta a casa","Hotel","Recogida","No es de conexion",183
"VivaAerobus","LAX","PDX",28,2,2023,"Prefiero no decirlo","Trabajo","Hotel","Renta de autos","No es de conexion",147
"Aeromar","JFK","LAX",22,12,2023,"Prefiero no decirlo","Vacaciones/placer","Casa","Renta de autos","No es de conexion",229
"VivaAerobus","SJC","PDX",26,2,2023,"Prefiero no decirlo","Trabajo","Hotel","Renta de autos","Es de conexion",158
"Aeroméxico","SJC","JFK",4,12,2023,"Hombre","Vacaciones/placer","Hotel","Taxi del aeropuerto","No es de conexion",52
"Aeroméxico","SJC","PDX",1,3,2023,"Mujer","Trabajo","Hotel","Renta de autos","Es de conexion",153
"Interjet","GDL","JFK",13,4,2023,"Mujer","Vacaciones/placer","Hotel","Auto propio","Es de conexion",74
"Aeroméxico","PDX","GDL",4,12,2023,"Hombre","Trabajo","Amigos","Taxi del aeropuerto","No es de conexion",126
"VivaAerobus","PDX","JFK",22,2,2023,"Mujer","Vacaciones/placer","Hotel","Transporte público","Es de conexion",112
"Aeroméxico","PDX","SJC",29,2,2023,"Mujer","Trabajo","Casa","Taxi del aeropuerto","No es de conexion",57
"Aeromar","JFK","SJC",4,4,2023,"Mujer","Vacaciones/placer","Casa","Transporte público","No es de conexion",131
"Interjet","GDL","JFK",4,7,2023,"Mujer","Vacaciones/placer","Amigos","Transporte público","Es de conexion",208
"Volaris","SJC","JFK",29,2,2023,"Prefiero no decirlo","Vacaciones/placer","Amigos","Renta de autos","Es de conexion",152
"Aeroméxico","GDL","LAX",3,8,2023,"Mujer","Vacaciones/placer","Amigos","Taxi del aeropuerto","Es de conexion",189
"Aeroméxico","LAX","GDL",16,3,2023,"Prefiero no decirlo","Vacaciones/placer","Hotel","Auto propio","Es de conexion",163
"Interjet","PDX","JFK",22,11,2023,"Hombre","Vacaciones/placer","Casa","Transporte público","No es de conexion",137
"Volaris","JFK","GDL",17,1,2023,"Prefiero no decirlo","Vacaciones/placer","Casa","Taxi del aeropuerto","No es de conexion",195
"Aeromar","SJC","LAX",28,4,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Recogida","No es de conexion",66
"Volaris","LAX","JFK",7,12,2023,"Mujer","Vacaciones/placer","Casa","Auto propio","Es de conexion",160
"Volaris","GDL","PDX",4,11,2023,"Mujer","Trabajo","Amigos","Auto propio","Es de conexion",95
"Aeromar","JFK","GDL",28,7,2023,"Mujer","Vacaciones/placer","Hotel","Recogida","No es de conexion",158
"Interjet","GDL","SJC",26,6,2023,"Mujer","Vuelta a casa","Hotel","Auto propio","No es de conexion",93
"Interjet","GDL","LAX",3,4,2023,"Mujer","Vuelta a casa","Amigos","Transporte público","Es de conexion",179
"VivaAerobus","JFK","PDX",22,6,2023,"Hombre","Trabajo","Amigos","Taxi del aeropuerto","Es de conexion",55
"Aeroméxico","SJC","GDL",11,1,2023,"Hombre","Vuelta a casa","Amigos","Taxi del aeropuerto","Es de conexion",181
"Volaris","LAX","SJC",4,7,2023,"Mujer","Vuelta a casa","Hotel","Auto propio","Es de conexion",140
"Volaris","JFK","PDX",29,9,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Recogida","No es de conexion",119
"VivaAerobus","JFK","SJC",21,12,2023,"Mujer","Vacaciones/placer","Amigos","Recogida","Es de conexion",125
"VivaAerobus","GDL","LAX",20,6,2023,"Prefiero no decirlo","Vuelta a casa","Hotel","Transporte público","Es de conexion",59
"Aeromar","LAX","JFK",22,6,2023,"Mujer","Vuelta a casa","Hotel","Auto propio","Es de conexion",86
"Aeromar","PDX","LAX",11,8,2023,"Hombre","Vuelta a casa","Casa","Taxi del aeropuerto","Es de conexion",227
"Volaris","PDX","JFK",24,9,2023,"Mujer","Vacaciones/placer","Hotel","Transporte público","Es de conexion",126
"VivaAerobus","PDX","LAX",29,11,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Renta de autos","Es de conexion",136
"VivaAerobus","PDX","GDL",29,10,2023,"Prefiero no decirlo","Trabajo","Casa","Renta de autos","Es de conexion",66
"Aeroméxico","GDL","SJC",17,9,2023,"Hombre","Vacaciones/placer","Casa","Recogida","Es de conexion",53
"Aeroméxico","PDX","LAX",12,3,2023,"Hombre","Vacaciones/placer","Hotel","Renta de autos","No es de conexion",174
"Volaris","PDX","GDL",15,9,2023,"Mujer","Vuelta a casa","Amigos","Taxi del aeropuerto","Es de conexion",112
"Aeromar","GDL","SJC",8,12,2023,"Mujer","Vacaciones/placer","Hotel","Transporte público","Es de conexion",100
"Aeroméxico","GDL","PDX",13,10,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Recogida","No es de conexion",94
"Aeroméxico","JFK","LAX",6,8,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Auto propio","No es de conexion",106
"Volaris","GDL","SJC",21,12,2023,"Mujer","Vuelta a casa","Casa","Recogida","No es de conexion",150
"Interjet","SJC","LAX",29,12,2023,"Mujer","Vuelta a casa","Casa","Auto propio","No es de conexion",103
"Interjet","GDL","LAX",16,6,2023,"Mujer","Vuelta a casa","Hotel","Auto propio","No es de conexion",237
"Interjet","LAX","JFK",24,10,2023,"Mujer","Trabajo","Hotel","Auto propio","No es de conexion",79
"Aeromar","SJC","JFK",20,2,2023,"Hombre","Trabajo","Amigos","Auto propio","Es de conexion",77
"Aeroméxico","LAX","PDX",25,11,2023,"Mujer","Vacaciones/placer","Amigos","Auto propio","No es de conexion",76
"Volaris","LAX","SJC",29,6,2023,"Hombre","Vacaciones/placer","Casa","Transporte público","No es de conexion",44
"Volaris","SJC","PDX",16,1,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Recogida","Es de conexion",229
"VivaAerobus","PDX","LAX",2,3,2023,"Mujer","Vacaciones/placer","Hotel","Recogida","No es de conexion",144
"Volaris","JFK","SJC",28,1,2023,"Mujer","Vuelta a casa","Hotel","Recogida","No es de conexion",187
"Interjet","LAX","JFK",26,12,2023,"Hombre","Vacaciones/placer","Hotel","Renta de autos","Es de conexion",106
"VivaAerobus","GDL","LAX",23,3,2023,"Hombre","Vuelta a casa","Casa","Taxi del aeropuerto","Es de conexion",80
"Interjet","SJC","GDL",1,11,2023,"Mujer","Vuelta a casa","Amigos","Recogida","Es de conexion",109
"Volaris","GDL","JFK",15,9,2023,"Prefiero no decirlo","Vacaciones/placer","Casa","Taxi del aeropuerto","Es de conexion",103
"Volaris","GDL","JFK",4,10,2023,"Mujer","Trabajo","Hotel","Auto propio","Es de conexion",171
"Interjet","JFK","GDL",20,6,2023,"Prefiero no decirlo","Trabajo","Amigos","Taxi del aeropuerto","Es de conexion",141
"VivaAerobus","JFK","LAX",19,6,2023,"Mujer","Vuelta a casa","Casa","Auto propio","No es de conexion",230
"Volaris","GDL","LAX",8,5,2023,"Mujer","Vuelta a casa","Amigos","Auto propio","No es de conexion",65
"Aeroméxico","SJC","GDL",23,6,2023,"Mujer","Vuelta a casa","Casa","Renta de autos","No es de conexion",190
"Volaris","SJC","LAX",12,9,2023,"Mujer","Vuelta a casa","Casa","Taxi del aeropuerto","No es de conexion",210
"VivaAerobus","SJC","LAX",27,8,2023,"Hombre","Trabajo","Amigos","Renta de autos","No es de conexion",239
"Aeroméxico","JFK","GDL",16,4,2023,"Hombre","Vuelta a casa","Casa","Taxi del aeropuerto","Es de conexion",47
"Aeroméxico","JFK","PDX",22,6,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Renta de autos","No es de conexion",58
"Volaris","LAX","SJC",15,12,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Renta de autos","No es de conexion",123
"Aeromar","LAX","GDL",4,2,2023,"Hombre","Vacaciones/placer","Amigos","Transporte público","Es de conexion",98
"Aeroméxico","SJC","GDL",20,8,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Auto propio","Es de conexion",154
"Aeroméxico","PDX","LAX",1,7,2023,"Hombre","Trabajo","Hotel","Renta de autos","No es de conexion",131
"Aeroméxico","PDX","GDL",22,2,2023,"Mujer","Vuelta a casa","Hotel","Taxi del aeropuerto","No es de conexion",104
"Interjet","GDL","JFK",9,7,2023,"Hombre","Vacaciones/placer","Amigos","Recogida","Es de conexion",221
"VivaAerobus","LAX","GDL",7,12,2023,"Mujer","Vuelta a casa","Hotel","Taxi del aeropuerto","Es de conexion",229
"Volaris","LAX","JFK",16,4,2023,"Hombre","Trabajo","Hotel","Auto propio","No es de conexion",146
"Volaris","LAX","GDL",22,6,2023,"Mujer","Vacaciones/placer","Hotel","Transporte público","No es de conexion",186
"VivaAerobus","JFK","PDX",4,1,2023,"Hombre","Trabajo","Amigos","Recogida","No es de conexion",130
"Aeromar","JFK","LAX",9,12,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Renta de autos","No es de conexion",149
"Aeromar","JFK","PDX",4,7,2023,"Hombre","Vuelta a casa","Amigos","Renta de autos","Es de conexion",53
"VivaAerobus","LAX","SJC",19,12,2023,"Prefiero no decirlo","Vacaciones/placer","Amigos","Renta de autos","No es de conexion",72
"Interjet","LAX","SJC",2,1,2023,"Mujer","Trabajo","Casa","Auto propio","Es de conexion",154
"Volaris","JFK","GDL",24,4,2023,"Mujer","Vuelta a casa","Hotel","Transporte público","Es de conexion",169
"Interjet","SJC","PDX",24,3,2023,"Hombre","Vacaciones/placer","Casa","Recogida","Es de conexion",230
"Aeromar","LAX","JFK",15,9,2023,"Prefiero no decirlo","Trabajo","Hotel","Transporte público","Es de conexion",60
"Aeroméxico","PDX","SJC",13,5,2023,"Hombre","Trabajo","Casa","Recogida","Es de conexion",52
"Volaris","JFK","GDL",29,6,2023,"Mujer","Vacaciones/placer","Hotel","Recogida","Es de conexion",195
"Volaris","LAX","PDX",26,7,2023,"Hombre","Trabajo","Amigos","Recogida","Es de conexion",154
"Aeromar","PDX","LAX",3,8,2023,"Mujer","Vuelta a casa","Hotel","Taxi del aeropuerto","No es de conexion",71
"Aeromar","JFK","GDL",25,9,2023,"Mujer","Trabajo","Hotel","Transporte público","No es de conexion",178
"Interjet","GDL","PDX",27,11,2023,"Hombre","Vuelta a casa","Hotel","Renta de autos","No es de conexion",187
"VivaAerobus","PDX","GDL",5,12,2023,"Mujer","Trabajo","Hotel","Auto propio","No es de conexion",225
"Aeromar","GDL","PDX",9,8,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Auto propio","No es de conexion",51
"Aeromar","PDX","GDL",12,8,2023,"Mujer","Trabajo","Hotel","Auto propio","No es de conexion",223
"VivaAerobus","JFK","PDX",8,1,2023,"Mujer","Vacaciones/placer","Hotel","Taxi del aeropuerto","No es de conexion",69
"Volaris","LAX","GDL",28,2,2023,"Mujer","Vacaciones/placer","Hotel","Auto propio","No es de conexion",80
"Interjet","GDL","JFK",27,3,2023,"Mujer","Vuelta a casa","Casa","Auto propio","Es de conexion",153
"VivaAerobus","GDL","LAX",20,4,2023,"Hombre","Vacaciones/placer","Amigos","Renta de autos","No es de conexion",195
"Aeromar","PDX","GDL",7,10,2023,"Hombre","Trabajo","Hotel","Transporte público","No es de conexion",224
"Volaris","PDX","LAX",13,12,2023,"Mujer","Vuelta a casa","Amigos","Transporte público","No es de conexion",52
"Volaris","SJC","GDL",18,6,2023,"Hombre","Vacaciones/placer","Casa","Taxi del aeropuerto","Es de conexion",75
"VivaAerobus","PDX","GDL",23,12,2023,"Hombre","Vuelta a casa","Amigos","Renta de autos","No es de conexion",158
"Aeroméxico","JFK","GDL",7,7,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",172
"VivaAerobus","SJC","JFK",7,12,2023,"Mujer","Vacaciones/placer","Hotel","Taxi del aeropuerto","No es de conexion",200
"Volaris","LAX","PDX",8,5,2023,"Mujer","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",193
"VivaAerobus","JFK","SJC",21,10,2023,"Hombre","Vuelta a casa","Amigos","Renta de autos","Es de conexion",154
"Volaris","GDL","PDX",24,4,2023,"Hombre","Vacaciones/placer","Amigos","Renta de autos","No es de conexion",185
"Aeromar","JFK","SJC",21,9,2023,"Prefiero no decirlo","Vacaciones/placer","Amigos","Transporte público","No es de conexion",221
"VivaAerobus","JFK","GDL",23,8,2023,"Hombre","Vacaciones/placer","Amigos","Renta de autos","Es de conexion",47
"Volaris","JFK","SJC",26,7,2023,"Hombre","Vuelta a casa","Casa","Taxi del aeropuerto","No es de conexion",144
"Volaris","JFK","LAX",24,9,2023,"Mujer","Vacaciones/placer","Hotel","Recogida","No es de conexion",198
"Interjet","JFK","SJC",18,10,2023,"Hombre","Trabajo","Casa","Renta de autos","Es de conexion",179
"Aeromar","LAX","JFK",9,5,2023,"Prefiero no decirlo","Vuelta a casa","Casa","Renta de autos","No es de conexion",215
"Volaris","GDL","LAX",22,5,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Transporte público","Es de conexion",87
"VivaAerobus","PDX","JFK",25,11,2023,"Hombre","Trabajo","Hotel","Transporte público","No es de conexion",205
"Volaris","JFK","SJC",12,6,2023,"Prefiero no decirlo","Vuelta a casa","Hotel","Recogida","Es de conexion",236
"VivaAerobus","JFK","LAX",25,2,2023,"Hombre","Vuelta a casa","Hotel","Taxi del aeropuerto","Es de conexion",36
"VivaAerobus","PDX","SJC",21,2,2023,"Hombre","Vuelta a casa","Amigos","Transporte público","No es de conexion",154
"Aeromar","GDL","JFK",9,6,2023,"Prefiero no decirlo","Vacaciones/placer","Hotel","Transporte público","No es de conexion",173
"Interjet","PDX","LAX",11,2,2023,"Prefiero no decirlo","Vacaciones/placer","Casa","Recogida","Es de conexion",48
"Aeroméxico","GDL","JFK",13,6,2023,"Hombre","Trabajo","Casa","Renta de autos","No es de conexion",51
"Volaris","PDX","LAX",26,3,2023,"Hombre","Vuelta a casa","Casa","Renta de autos","No es de conexion",60
"VivaAerobus","GDL","SJC",11,12,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",53
"Volaris","SJC","JFK",16,5,2023,"Prefiero no decirlo","Vacaciones/placer","Casa","Renta de autos","No es de conexion",223
"Aeroméxico","GDL","PDX",12,5,2023,"Mujer","Vacaciones/placer","Amigos","Taxi del aeropuerto","Es de conexion",93
"Volaris","JFK","SJC",1,8,2023,"Mujer","Vuelta a casa","Casa","Auto propio","Es de conexion",200
"VivaAerobus","SJC","PDX",29,11,2023,"Prefiero no decirlo","Vacaciones/placer","Hotel","Renta de autos","No es de conexion",137
"Aeromar","PDX","LAX",6,6,2023,"Mujer","Vacaciones/placer","Hotel","Transporte público","Es de conexion",130
"VivaAerobus","GDL","SJC",13,6,2023,"Mujer","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",46
"Interjet","JFK","SJC",27,12,2023,"Prefiero no decirlo","Vuelta a casa","Hotel","Taxi del aeropuerto","Es de conexion",158
"Volaris","LAX","JFK",16,5,2023,"Mujer","Trabajo","Hotel","Renta de autos","No es de conexion",210
"Aeromar","LAX","GDL",25,4,2023,"Hombre","Vuelta a casa","Amigos","Renta de autos","No es de conexion",49
"Volaris","GDL","LAX",20,12,2023,"Mujer","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",99
"Aeroméxico","JFK","GDL",9,6,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Taxi del aeropuerto","Es de conexion",121
"Interjet","JFK","PDX",10,6,2023,"Mujer","Trabajo","Hotel","Renta de autos","No es de conexion",178
"Interjet","PDX","SJC",7,6,2023,"Mujer","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",160
"Interjet","GDL","SJC",26,9,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Transporte público","Es de conexion",222
"Aeromar","SJC","LAX",26,8,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Transporte público","Es de conexion",236
"Volaris","SJC","JFK",16,11,2023,"Hombre","Vuelta a casa","Casa","Recogida","No es de conexion",150
"Aeroméxico","LAX","SJC",1,4,2023,"Mujer","Vacaciones/placer","Hotel","Recogida","Es de conexion",146
"VivaAerobus","LAX","SJC",28,9,2023,"Mujer","Vuelta a casa","Hotel","Auto propio","Es de conexion",57
"Volaris","PDX","LAX",9,12,2023,"Mujer","Trabajo","Amigos","Auto propio","Es de conexion",165
"Interjet","SJC","LAX",24,4,2023,"Hombre","Trabajo","Casa","Renta de autos","No es de conexion",129
"VivaAerobus","JFK","GDL",22,6,2023,"Mujer","Vuelta a casa","Casa","Renta de autos","Es de conexion",87
"Volaris","LAX","JFK",1,11,2023,"Mujer","Vuelta a casa","Hotel","Taxi del aeropuerto","No es de conexion",197
"Volaris","LAX","JFK",18,6,2023,"Mujer","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",210
"Volaris","LAX","SJC",26,12,2023,"Mujer","Trabajo","Casa","Recogida","Es de conexion",229
"Aeromar","GDL","SJC",2,10,2023,"Hombre","Vacaciones/placer","Casa","Recogida","No es de conexion",35
"VivaAerobus","JFK","SJC",9,7,2023,"Hombre","Vuelta a casa","Casa","Transporte público","No es de conexion",130
"Volaris","PDX","LAX",8,7,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",175
"Volaris","GDL","LAX",24,1,2023,"Mujer","Vuelta a casa","Casa","Renta de autos","No es de conexion",176
"Interjet","JFK","PDX",23,7,2023,"Mujer","Trabajo","Amigos","Recogida","Es de conexion",111
